matchup_id,season,week,team_id,opponent_id,team_score,opponent_score,is_playoff,is_championship,matchup_type
350,2021,3,9,17,85.03,80.77,False,False,NONE
351,2021,4,16,1,128.3,108.25,False,False,NONE
352,2021,4,1,16,108.25,128.3,False,False,NONE
353,2021,4,11,4,124.5,126.02,False,False,NONE
354,2021,4,4,11,126.02,124.5,False,False,NONE
355,2021,4,9,26,124.35,94.8,False,False,NONE
356,2021,4,26,9,94.8,124.35,False,False,NONE
357,2021,4,12,15,123.74,100.25,False,False,NONE
358,2021,4,15,12,100.25,123.74,False,False,NONE
359,2021,4,17,7,99.74,90.51,False,False,NONE
360,2021,4,7,17,90.51,99.74,False,False,NONE
361,2021,5,11,9,131.3,139.3,False,False,NONE
362,2021,5,9,11,139.3,131.3,False,False,NONE
363,2021,5,16,12,140.97,131.07,False,False,NONE
364,2021,5,12,16,131.07,140.97,False,False,NONE
365,2021,5,1,17,160.56,111.53,False,False,NONE
366,2021,5,17,1,111.53,160.56,False,False,NONE
367,2021,5,4,15,122.17,103.96,False,False,NONE
368,2021,5,15,4,103.96,122.17,False,False,NONE
369,2021,5,26,7,117.14,109.31,False,False,NONE
370,2021,5,7,26,109.31,117.14,False,False,NONE
371,2021,6,17,15,147.17,108.34,False,False,NONE
372,2021,6,15,17,108.34,147.17,False,False,NONE
373,2021,6,7,4,122.67,95.04,False,False,NONE
374,2021,6,4,7,95.04,122.67,False,False,NONE
375,2021,6,26,16,116.29,113.02,False,False,NONE
376,2021,6,16,26,113.02,116.29,False,False,NONE
377,2021,6,1,11,104.37,116.2,False,False,NONE
378,2021,6,11,1,116.2,104.37,False,False,NONE
379,2021,6,9,12,126.44,148.35,False,False,NONE
380,2021,6,12,9,148.35,126.44,False,False,NONE
381,2021,7,4,17,127.6,71.5,False,False,NONE
382,2021,7,17,4,71.5,127.6,False,False,NONE
383,2021,7,16,7,135.37,146.28,False,False,NONE
384,2021,7,7,16,146.28,135.37,False,False,NONE
385,2021,7,11,26,79.41,129.75,False,False,NONE
386,2021,7,26,11,129.75,79.41,False,False,NONE
387,2021,7,12,1,152.15,113.08,False,False,NONE
388,2021,7,1,12,113.08,152.15,False,False,NONE
389,2021,7,15,9,135.33,113.92,False,False,NONE
390,2021,7,9,15,113.92,135.33,False,False,NONE
391,2021,8,17,16,104.64,88.22,False,False,NONE
392,2021,8,16,17,88.22,104.64,False,False,NONE
393,2021,8,7,11,115.16,94.34,False,False,NONE
394,2021,8,11,7,94.34,115.16,False,False,NONE
395,2021,8,26,12,117.73,100.12,False,False,NONE
396,2021,8,12,26,100.12,117.73,False,False,NONE
397,2021,8,1,15,121.44,104.26,False,False,NONE
398,2021,8,15,1,104.26,121.44,False,False,NONE
399,2021,8,9,4,84.33,103.48,False,False,NONE
400,2021,8,4,9,103.48,84.33,False,False,NONE
401,2021,9,11,17,83.31,89.8,False,False,NONE
402,2021,9,17,11,89.8,83.31,False,False,NONE
403,2021,9,12,16,89.19,77.14,False,False,NONE
404,2021,9,16,12,77.14,89.19,False,False,NONE
405,2021,9,7,9,106.31,70.12,False,False,NONE
406,2021,9,9,7,70.12,106.31,False,False,NONE
407,2021,9,15,4,81.18,106.07,False,False,NONE
408,2021,9,4,15,106.07,81.18,False,False,NONE
409,2021,9,26,1,81.12,156.92,False,False,NONE
410,2021,9,1,26,156.92,81.12,False,False,NONE
411,2021,10,12,7,130.04,106.01,False,False,NONE
412,2021,10,7,12,106.01,130.04,False,False,NONE
413,2021,10,15,11,66.64,119.91,False,False,NONE
414,2021,10,11,15,119.91,66.64,False,False,NONE
415,2021,10,17,26,108.25,80.04,False,False,NONE
416,2021,10,26,17,80.04,108.25,False,False,NONE
417,2021,10,4,16,96.06,85.83,False,False,NONE
418,2021,10,16,4,85.83,96.06,False,False,NONE
419,2021,10,9,1,114.75,112.75,False,False,NONE
420,2021,10,1,9,112.75,114.75,False,False,NONE
421,2021,11,15,26,92.87,87.95,False,False,NONE
422,2021,11,26,15,87.95,92.87,False,False,NONE
423,2021,11,12,4,91.68,110.0,False,False,NONE
424,2021,11,4,12,110.0,91.68,False,False,NONE
425,2021,11,1,7,167.48,132.39,False,False,NONE
426,2021,11,7,1,132.39,167.48,False,False,NONE
427,2021,11,11,16,99.06,125.98,False,False,NONE
428,2021,11,16,11,125.98,99.06,False,False,NONE
429,2021,11,9,17,119.49,97.73,False,False,NONE
430,2021,11,17,9,97.73,119.49,False,False,NONE
431,2021,12,4,1,86.45,94.49,False,False,NONE
432,2021,12,1,4,94.49,86.45,False,False,NONE
433,2021,12,16,15,103.73,76.9,False,False,NONE
434,2021,12,15,16,76.9,103.73,False,False,NONE
435,2021,12,26,9,104.55,125.1,False,False,NONE
436,2021,12,9,26,125.1,104.55,False,False,NONE
437,2021,12,11,12,134.24,142.57,False,False,NONE
438,2021,12,12,11,142.57,134.24,False,False,NONE
439,2021,12,7,17,97.91,84.67,False,False,NONE
440,2021,12,17,7,84.67,97.91,False,False,NONE
441,2021,13,16,9,90.69,78.2,False,False,NONE
442,2021,13,9,16,78.2,90.69,False,False,NONE
443,2021,13,4,11,156.98,116.8,False,False,NONE
444,2021,13,11,4,116.8,156.98,False,False,NONE
445,2021,13,17,1,68.35,121.21,False,False,NONE
446,2021,13,1,17,121.21,68.35,False,False,NONE
447,2021,13,15,12,103.14,112.26,False,False,NONE
448,2021,13,12,15,112.26,103.14,False,False,NONE
449,2021,13,7,26,159.61,104.08,False,False,NONE
450,2021,13,26,7,104.08,159.61,False,False,NONE
451,2021,14,17,12,84.1,123.37,False,False,NONE
452,2021,14,12,17,123.37,84.1,False,False,NONE
453,2021,14,7,15,135.88,114.15,False,False,NONE
454,2021,14,15,7,114.15,135.88,False,False,NONE
455,2021,14,26,4,104.86,124.09,False,False,NONE
456,2021,14,4,26,124.09,104.86,False,False,NONE
457,2021,14,1,16,96.88,145.8,False,False,NONE
458,2021,14,16,1,145.8,96.88,False,False,NONE
459,2021,14,9,11,117.34,110.26,False,False,NONE
460,2021,14,11,9,110.26,117.34,False,False,NONE
461,2021,15,4,0,65.7,0.0,True,False,WINNERS_BRACKET
462,2021,15,16,9,96.53,113.37,True,False,WINNERS_BRACKET
463,2021,15,9,16,113.37,96.53,True,False,WINNERS_BRACKET
464,2021,15,12,1,95.63,97.92,True,False,WINNERS_BRACKET
465,2021,15,1,12,97.92,95.63,True,False,WINNERS_BRACKET
466,2021,15,7,0,95.51,0.0,True,False,WINNERS_BRACKET
467,2021,15,17,11,138.51,87.09,True,False,LOSERS_CONSOLATION_LADDER
468,2021,15,11,17,87.09,138.51,True,False,LOSERS_CONSOLATION_LADDER
469,2021,15,26,15,87.06,100.8,True,False,LOSERS_CONSOLATION_LADDER
470,2021,15,15,26,100.8,87.06,True,False,LOSERS_CONSOLATION_LADDER
471,2021,16,4,9,110.27,101.82,True,False,WINNERS_BRACKET
472,2021,16,9,4,101.82,110.27,True,False,WINNERS_BRACKET
473,2021,16,7,1,88.96,151.67,True,False,WINNERS_BRACKET
474,2021,16,1,7,151.67,88.96,True,False,WINNERS_BRACKET
475,2021,16,12,16,128.88,104.14,True,False,WINNERS_CONSOLATION_LADDER
476,2021,16,16,12,104.14,128.88,True,False,WINNERS_CONSOLATION_LADDER
477,2021,16,17,15,116.23,84.32,True,False,LOSERS_CONSOLATION_LADDER
478,2021,16,15,17,84.32,116.23,True,False,LOSERS_CONSOLATION_LADDER
479,2021,16,11,26,101.4,101.68,True,False,LOSERS_CONSOLATION_LADDER
480,2021,16,26,11,101.68,101.4,True,False,LOSERS_CONSOLATION_LADDER
481,2021,17,4,1,119.25,96.57,True,False,WINNERS_BRACKET
